scale,instance_id,instance_path,instance_sha256,attempt_dir,runner_status,algorithm_status,exact,no_cheat,cold_start_total_sec,root_cg_sec,tree_sec,pricing_proof_sec,incumbent_objective,global_lower_bound,objective_closure_match,instance_reference_exact_status,instance_reference_objective,fail_reason,certificate_scope,certificate_leak,pricing_rc_fail,manual_rc_fail,row_budget_exhausted,same_run_checkpoint_resume_used,engine_hash_valid,redlines_zero,returncode
5,instance_001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,57aaf574b91093ab9e20cc43e0e3722434b7b92e3f21679d65d26507ec5e3bb3,rows/scale_005/instance_001_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.37219,0.072423,0.156888,0.011576,2.191915,2.191915,True,NOT_SOLVED,1341.939224,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_002,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,6f77bb709f66b582da19acdf134f23b4b1f726319bc8c170a43a5dbd7f3bc3a4,rows/scale_005/instance_002_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.367001,0.076054,0.155214,0.009213,2.363709,2.363709,True,NOT_SOLVED,1386.592325,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_003,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_003_logical_graph.json,84dcaf3305bd849c21cb83e8d30d6cc2f342dd79e1499c4a8d5535b2296aa0ce,rows/scale_005/instance_003_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.395391,0.098518,0.160579,0.010026,2.202702,2.202702,True,NOT_SOLVED,1396.100718,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_004,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_004_logical_graph.json,1fad2e53fe15bc9b8fbcf1ec963d162a1da4ee85e82222a6337dcf6b3a1ee247,rows/scale_005/instance_004_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.374568,0.075835,0.156043,0.011413,2.068163,2.068163,True,NOT_SOLVED,1268.79635,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_005,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_005_logical_graph.json,23357aefbbe0120dd582e106386924faced068c8024d109ea5f872a5e2552abf,rows/scale_005/instance_005_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.376379,0.085289,0.156659,0.011669,2.155459,2.155459,True,NOT_SOLVED,1200.326397,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_006,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_006_logical_graph.json,341e1ceb101304d005de3a5b54aa094682f433c2737451b56d11796cf955f35a,rows/scale_005/instance_006_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.384186,0.070507,0.170132,0.015766,2.114233,2.114233,True,NOT_SOLVED,1299.778708,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_007,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_007_logical_graph.json,55801cd403ff0f374cf1adf41836a48c803bb8d022d1a4e95f2ae0b4c34f277d,rows/scale_005/instance_007_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.408107,0.09136,0.16464,0.010005,2.140463,2.140463,True,NOT_SOLVED,1445.252179,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_008,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_008_logical_graph.json,eaf2b88eb2f777214bff13d38f36d9a37f29e302b76cfdd11730b653dd872acc,rows/scale_005/instance_008_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.397016,0.097224,0.160907,0.010322,2.100262,2.100262,True,NOT_SOLVED,1600.091532,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_009,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_009_logical_graph.json,95268d5ddd97e9fbbf58157fe80fddddef9f941feeef6b47e56c629693956f91,rows/scale_005/instance_009_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.382393,0.074792,0.17069,0.011537,2.096863,2.096863,True,NOT_SOLVED,1544.440379,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
5,instance_010,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_010_logical_graph.json,acd79c9b1b7fcb9ca8f91f917219d8604a99547b1d9354fbfce1ffc159e91bb8,rows/scale_005/instance_010_logical_graph/attempt_001,EXACT_CLOSED,BPC_OPTIMAL,True,True,0.391975,0.081802,0.16652,0.010436,2.204695,2.204695,True,NOT_SOLVED,1361.83933,,BPC_TREE_OPTIMAL,0,0,0,False,False,True,True,0
