stage,matrix_group,instance_path,source_probe_json,scale,instance_id,mode,variant,b4_1_matrix_cell,b4_1_proof_tail_component,b4_1_formulation_profile,b4_1_harvesting_enabled,b4_1_hidden_negative_audit_enabled,b4_1_frontier_ledger_enabled,b4_1_official_certificate_allowed,phase,round,max_rounds,max_columns_per_round,max_tree_nodes,max_branch_depth,node_count,root_round_count,root_added_column_count,root_last_pricing_state,root_last_negative_column_count,tree_gate_issue_count,algorithm_status,certificate_scope,underlying_certificate_scope,pricing_state,exact_status,bpc_tree_optimal,b3_objective_diff_vs_b0,manual_rc_fail,pricing_rc_fail,certificate_leak,hidden_negative_count,harvest_selected_count,harvest_candidate_negative_count,harvest_selected_new_task_set_count,harvest_selected_replacement_task_set_count,harvest_best_true_rc,harvest_worst_selected_true_rc,harvest_addability_audit_pass,tail_dual_stabilization_enabled,worker_dual_only,true_dual_rc_recomputed,global_remaining_rc_lb,underlying_global_remaining_rc_lb,frontier_lb_official,frontier_coverage_complete,underlying_frontier_coverage_complete,frontier_unsupported_region_count,underlying_frontier_unsupported_region_count,pending_complete_min_rc,underlying_pending_complete_min_rc,pricing_proof_kind,underlying_pricing_proof_kind,compact_pricing_dual_bound,new_negative_columns_found,negative_column_count,can_certify_no_negative,underlying_can_certify_no_negative,b4_1_certificate_suppressed,diagnostic_claimed_certificate,wall_time,fail_closed_reason
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,,5,lunar_ice_sp50_005_001_seed679001,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,16,128,31,4,1,3,19,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.205789,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,,5,lunar_ice_sp50_005_001_seed679001,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,16,128,31,4,1,3,19,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.195258,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,,5,lunar_ice_sp50_005_002_seed679002,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,16,128,31,4,1,3,20,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.233344,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,,5,lunar_ice_sp50_005_002_seed679002,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,16,128,31,4,1,3,20,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.231248,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_003_logical_graph.json,,5,lunar_ice_sp50_005_003_seed679005,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,16,128,31,4,1,3,18,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.28632,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_003_logical_graph.json,,5,lunar_ice_sp50_005_003_seed679005,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,16,128,31,4,1,3,18,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.290488,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_004_logical_graph.json,,5,lunar_ice_sp50_005_004_seed679030,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,16,128,31,4,1,3,16,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.291147,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_004_logical_graph.json,,5,lunar_ice_sp50_005_004_seed679030,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,16,128,31,4,1,3,16,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.293558,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_005_logical_graph.json,,5,lunar_ice_sp50_005_005_seed679011,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,16,128,31,4,1,3,21,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.372925,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_005_logical_graph.json,,5,lunar_ice_sp50_005_005_seed679011,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,16,128,31,4,1,3,21,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.377122,B3 tree is closed by official node LP certificates and an integer incumbent.
