matrix_group,scale,instance_id,mode,baseline_name,candidate_name,seed_builder,initial_column_count,full_universe_column_count,full_universe_preloaded,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,official_lower_bound_source,official_lower_bound_scope,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,root_lp_bound,root_lp_bound_official,root_bound_le_B0_objective,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,duplicate_in_current_master_count,in_pool_not_master_count,forbidden_signature_count,branch_filtered_count,cut_filtered_count,selected_count,selected_would_enter_master_count,selected_all_would_enter_master,added_to_master_count,added_column_count,duplicate_only_count,duplicate_only_audit_status,hidden_negative_count,replacement_only_round_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,product_exact_solution_scope,product_exact_solution_count,product_exact_objective,direct_dp_fallback_used,direct_dp_fallback_count,rmp_wall_time,worker_status,diagnostic_dual_source,diagnostic_rmp_iteration_id,diagnostic_dual_fingerprint,worker_wall_time,final_judge_wall_time,time_to_first_negative,time_to_first_addable_negative,labels_generated,labels_generated_before_first_negative,labels_generated_total,labels_extended,sortie_templates,journey_labels,candidate_sequences,path_option_assignments,resource_prune_count,time_window_prune_count,dominance_prune_count,bound_prune_count,bound_check_time,dominance_time,cache_hit_count,cache_miss_count,max_queue_size,peak_label_count,worker_call_count,worker_found_negative_count,worker_found_addable_negative_count,worker_no_column_uncertified_count,worker_incomplete_count,final_judge_saved_by_worker_count,exit_reason,exact_first_step_bound_pruning_enabled,exact_first_step_bound_evaluated_count,would_prune_count_if_enabled,completion_bound_pruning_enabled,proof_tail_kernel_profile_enabled,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,certificate_scope_regression,objective_mismatch,improvement_reason
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B0_pure_direct_dp,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,16.613527,,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B1A_full_universe_root_audit,accepted_B1,B1A_full_universe_root_audit,,0,1048575,False,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,False,False,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,4.5e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B1B_seeded_root_CG,accepted_B1,B1B_seeded_root_CG,,23,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,1.581227,True,True,7,7,0,0,0,0,0,0,0,0,0,True,1162,1162,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,129.953575,,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2_PRODUCT_EXACT_SOLVER,fixed_graph_direct_dp_product_exact,B2_PRODUCT_EXACT_SOLVER,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,DIRECT_DP_FIXED_GRAPH_OPTIMAL,1,1.581227,True,1,,,,,,,,,,49419,,49419,0,0,16019,0,438679,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,2.4e-05,,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2A_full_universe_rc_audit_fast_path,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,,0,1048575,False,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,False,False,0,,0,,False,0,0.0,,,,,0.0,0.0,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,8.4e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b2a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,False,final_judge_wall_time_lower
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2B_seeded_tail_CG,B1B_seeded_root_CG,B2B_seeded_tail_CG,,23,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,1.581227,False,True,8,8,8212,8212,0,0,0,0,0,423,423,True,423,423,0,,0,0,True,True,0,,0,,False,0,0.0,,,,,0.0,16.922167,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,135.551794,Stopped after max_rounds=8; B2B root no-negative proof is incomplete.,,,False,,,,,,True,False,final_judge_wall_time_lower
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2B_R2_worker_before_final_judge,B1B_seeded_root_CG,B2B_R2_worker_before_final_judge,b2b_r2_lightweight_no_full_universe_enumeration,23,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,1.581227,False,True,8,4,4382,4382,0,0,0,0,0,309,309,True,283,283,0,,2465,0,True,True,0,,0,,False,0,0.089282,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R2_worker_before_final_judge-root-8,cb4f289c58aa1cf17849295220f620c4bad97b0bc24b01d320c3ffefaed1437d,0.554497,66.185898,0.051182,0.051182,201931,475,201931,1809447,65405455,5286,64588,1809447,0,0,0,0,0.0,0.0,389,123,0,49419,8,5,5,3,0,4,WORKER_INCOMPLETE_LIMIT,False,201931,0,False,True,67.232283,Stopped after max_rounds=8; B2B_R2_worker_before_final_judge worker/final-judge root proof is incomplete.,,,False,,,,,,True,False,"wall_time_lower,final_judge_call_count_lower,final_judge_wall_time_lower,time_to_first_addable_negative_available,worker_found_addable_negative"
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2B_R3_true_dual_negative_search_worker,B1B_seeded_root_CG,B2B_R3_true_dual_negative_search_worker,b2b_r3_lightweight_no_full_universe_enumeration,23,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,1.581227,False,True,8,4,4382,4382,0,0,0,0,0,309,309,True,283,283,0,,2465,0,True,True,0,,0,,False,0,0.08908,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R3_true_dual_negative_search_worker-root-8,077e61fefc0a0f8d89289fe978208b65ee8b51218fc258a9628820f32f6bf756,0.565003,66.297763,0.050978,0.050978,201931,475,201931,1809447,65405455,5286,64588,1809447,0,0,0,0,0.0,0.0,389,123,0,49419,8,5,5,3,0,4,WORKER_INCOMPLETE_LIMIT,False,201931,0,False,True,67.288314,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,,True,False,"wall_time_lower,final_judge_call_count_lower,final_judge_wall_time_lower,time_to_first_addable_negative_available,worker_found_addable_negative"
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2C_limited_pricing_diagnostic,diagnostic_only_no_certificate,B2C_limited_pricing_diagnostic,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,0,0,3,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000305,,master.reduced_cost_context,B2C_limited_pricing_diagnostic-diagnostic-root,4a6aff45c408e82229caf669f029522dd9a2cfd1dc728819910c9397dcbf6bc8,1.670155,0.0,1.670155,,559,559,559,0,3746,10,8,292724,0,0,0,0,,,0,8,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,False,1.685848,B2C_limited_pricing_diagnostic: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B2D_proof_tail_kernel_profile,diagnostic_only_no_certificate,B2D_proof_tail_kernel_profile,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,0,0,3,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000315,,master.reduced_cost_context,B2D_proof_tail_kernel_profile-diagnostic-root,d6cbfa05b88b57e4f1d6bfada3ef955516303da5c6b36e686ca52fdb0f5e87fb,1.654698,0.0,1.654698,,559,559,559,0,3746,10,8,292724,0,0,0,0,,,0,8,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,True,1.671461,B2D_proof_tail_kernel_profile: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
