matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,B0_direct_objective,reference_solution_upper_bound,reference_solution_upper_bound_source,direct_bound_pruning_root_bound,direct_bound_pruning_active,journey_label_bound_pruned_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B2B_R3_root_lp_bound,B3_global_lb,B3_global_ub,B3_global_gap,objective_diff_vs_B0,B3_tree_closed,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,node_count,evaluated_node_count,open_node_count,incomplete_node_count,pruned_by_bound_count,integer_incumbent_count,branch_count,max_depth_reached,NO_FRACTIONAL_RF_PAIR_count,manual_rc_audit_pass,pricing_rc_audit_pass,branch_pricing_audit_pass,proof_debt_unreleased_count,selected_harvest_addability_fail_count,all_node_ledgers_valid,direct_dp_used_as_bpc_certificate,root_bound_gt_B0_violation,tree_incumbent_diff_vs_B0,certificate_scope_regression,manual_rc_fail,pricing_rc_fail,branch_pricing_audit_fail,proof_debt_unreleased_certified,direct_dp_certificate_leak,NO_FRACTIONAL_RF_PAIR_treated_as_integral,open_node_but_tree_optimal,incomplete_node_but_tree_optimal,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,,1.919465,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,,1.919465,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,,1.919465,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,,1.919465,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,,1.919465,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,,1.836347,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,,1.836347,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,,1.836347,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,,1.836347,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B3B_seeded_branch_price_tree,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,,1.836347,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,,1.827782,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,,1.827782,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,,1.827782,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,,1.827782,,,False,0,0,0,0,0,1,,,,,,,,,0,,False,False,,,,,,,,0,,,,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,
