scale,instance_id,mode,max_direct_tasks,status,certificate_scope,pricing_state,root_lp_bound_official,objective,root_lp_bound,root_bound_le_B0_objective,round_count,added_column_count,pool_column_count,master_column_count,final_judge_status,final_judge_source,final_judge_wall_time,final_judge_negative_count,manual_priced_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,note
5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1310.952686,,,0,0,,,,,,,,,,,0.004179,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_001_seed679001,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1310.952686,1310.952686,True,3,20,26,26,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,True,True,0,0.005676,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_002_seed679002,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1349.525425,,,0,0,,,,,,,,,,,0.003117,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_002_seed679002,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1349.525425,1349.525425,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.004802,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_003_seed679005,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1316.47124,,,0,0,,,,,,,,,,,0.004738,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_003_seed679005,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1316.47124,1316.47124,True,4,20,26,26,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.1e-05,0,31,True,True,0,0.007696,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_005_seed679011,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1182.368403,,,0,0,,,,,,,,,,,0.004421,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_005_seed679011,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1182.368403,1182.368403,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.1e-05,0,31,True,True,0,0.006649,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_007_seed679013,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1400.622149,,,0,0,,,,,,,,,,,0.003009,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_007_seed679013,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1400.622149,1400.622149,True,4,20,26,26,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,True,True,0,0.005476,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_006_seed679032,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1244.612406,,,0,0,,,,,,,,,,,0.003426,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
