stage,matrix_group,instance_path,source_probe_json,scale,instance_id,mode,variant,b4_1_matrix_cell,b4_1_proof_tail_component,b4_1_formulation_profile,b4_1_harvesting_enabled,b4_1_hidden_negative_audit_enabled,b4_1_frontier_ledger_enabled,b4_1_official_certificate_allowed,phase,round,max_rounds,max_columns_per_round,max_tree_nodes,max_branch_depth,node_count,root_round_count,root_added_column_count,root_last_pricing_state,root_last_negative_column_count,tree_gate_issue_count,algorithm_status,certificate_scope,underlying_certificate_scope,pricing_state,exact_status,bpc_tree_optimal,b3_objective_diff_vs_b0,manual_rc_fail,pricing_rc_fail,certificate_leak,hidden_negative_count,harvest_selected_count,harvest_candidate_negative_count,harvest_selected_new_task_set_count,harvest_selected_replacement_task_set_count,harvest_best_true_rc,harvest_worst_selected_true_rc,harvest_addability_audit_pass,tail_dual_stabilization_enabled,worker_dual_only,true_dual_rc_recomputed,global_remaining_rc_lb,underlying_global_remaining_rc_lb,frontier_lb_official,frontier_coverage_complete,underlying_frontier_coverage_complete,frontier_unsupported_region_count,underlying_frontier_unsupported_region_count,pending_complete_min_rc,underlying_pending_complete_min_rc,pricing_proof_kind,underlying_pricing_proof_kind,compact_pricing_dual_bound,new_negative_columns_found,negative_column_count,can_certify_no_negative,underlying_can_certify_no_negative,b4_1_certificate_suppressed,diagnostic_claimed_certificate,wall_time,fail_closed_reason
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_001_logical_graph.json,,20,lunar_ice_sp50_020_001_seed829001,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,8,128,31,4,1,7,531,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,14.794217,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_001_logical_graph.json,,20,lunar_ice_sp50_020_001_seed829001,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,8,128,31,4,1,7,531,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,14.803032,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_002_logical_graph.json,,20,lunar_ice_sp50_020_002_seed829002,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,8,128,31,4,1,8,655,FOUND_NEGATIVE,14,3,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,,INCOMPLETE_LIMIT,NOT_SOLVED,False,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,9.399736,B3 tree is not closed; node LP certificates remain valid only at their recorded scope.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_002_logical_graph.json,,20,lunar_ice_sp50_020_002_seed829002,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,8,128,31,4,1,8,655,FOUND_NEGATIVE,14,3,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,,INCOMPLETE_LIMIT,NOT_SOLVED,False,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,9.425802,B3 tree is not closed; node LP certificates remain valid only at their recorded scope.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_003_logical_graph.json,,20,lunar_ice_sp50_020_003_seed829003,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,8,128,31,4,1,8,575,FOUND_NEGATIVE,2,3,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,,INCOMPLETE_LIMIT,NOT_SOLVED,False,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,20.005243,B3 tree is not closed; node LP certificates remain valid only at their recorded scope.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_003_logical_graph.json,,20,lunar_ice_sp50_020_003_seed829003,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,8,128,31,4,1,8,575,FOUND_NEGATIVE,2,3,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,,INCOMPLETE_LIMIT,NOT_SOLVED,False,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,20.132563,B3 tree is not closed; node LP certificates remain valid only at their recorded scope.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_004_logical_graph.json,,20,lunar_ice_sp50_020_004_seed829004,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,8,128,31,4,1,8,772,FOUND_NEGATIVE,1,3,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,,INCOMPLETE_LIMIT,NOT_SOLVED,False,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,17.357041,B3 tree is not closed; node LP certificates remain valid only at their recorded scope.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_004_logical_graph.json,,20,lunar_ice_sp50_020_004_seed829004,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,8,128,31,4,1,8,772,FOUND_NEGATIVE,1,3,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,,INCOMPLETE_LIMIT,NOT_SOLVED,False,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,17.077337,B3 tree is not closed; node LP certificates remain valid only at their recorded scope.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_005_logical_graph.json,,20,lunar_ice_sp50_020_005_seed829005,stageA_B3B_accepted_baseline,,B3B_accepted_tree_baseline,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,False,False,False,True,stage_a_solver,,8,128,31,4,1,8,772,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,28.721101,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_020/instance_005_logical_graph.json,,20,lunar_ice_sp50_020_005_seed829005,stageA_B4V2_default_final_judge_harvesting,,B4V2_final_judge_harvesting,true_dual_final_judge_tree_closure,B3B_representative_universe_branch_rc_audit,True,True,False,True,stage_a_solver,,8,128,31,4,1,8,772,CERTIFIED_NO_NEGATIVE,0,0,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,28.771976,B3 tree is closed by official node LP certificates and an integer incumbent.
