scale,instance_id,node_id,depth,snapshot_kind,node_status,primal_integral,evaluable,enumerated_candidate_count,full_enumeration_completed,violated_candidate_count,selected_candidate_count,unselected_violated_count,max_violation,max_selected_support,source_tree_json
20,lunar_ice_sp50_020_001_seed829001,node_000,0,root,INTEGER_INCUMBENT,True,True,16644,True,0,0,0,,0,rows/scale_020/instance_001_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_001/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_002_seed829002,node_000,0,root,INTEGER_INCUMBENT,True,True,16644,True,0,0,0,,0,rows/scale_020/instance_002_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_002/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_003_seed829003,node_000,0,root,BRANCHED,False,True,16644,True,512,16,496,0.5,5,rows/scale_020/instance_003_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_003/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_003_seed829003,node_001,1,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_003_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_003/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_003_seed829003,node_002,1,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_003_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_003/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_004_seed829004,node_000,0,root,BRANCHED,False,True,16644,True,1339,16,1323,0.500000001,9,rows/scale_020/instance_004_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_004/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_004_seed829004,node_001,1,branch,BRANCHED,False,True,1140,True,70,16,54,0.500000001,7,rows/scale_020/instance_004_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_004/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_004_seed829004,node_002,1,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_004_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_004/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_004_seed829004,node_003,2,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_004_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_004/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_004_seed829004,node_004,2,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_004_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_004/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_005_seed829005,node_000,0,root,INTEGER_INCUMBENT,True,True,16644,True,0,0,0,,0,rows/scale_020/instance_005_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_005/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_006_seed829006,node_000,0,root,INTEGER_INCUMBENT,True,True,16644,True,0,0,0,,0,rows/scale_020/instance_006_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_006/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_007_seed829027,node_000,0,root,INTEGER_INCUMBENT,True,True,16644,True,0,0,0,,0,rows/scale_020/instance_007_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_007/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_008_seed829008,node_000,0,root,INTEGER_INCUMBENT,True,True,16644,True,0,0,0,,0,rows/scale_020/instance_008_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_008/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_009_seed829009,node_000,0,root,BRANCHED,False,True,16644,True,445,16,429,0.5,5,rows/scale_020/instance_009_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_009/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_009_seed829009,node_001,1,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_009_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_009/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_009_seed829009,node_002,1,branch,PRUNED_BY_BOUND,False,True,1140,True,47,16,31,0.333333333,3,rows/scale_020/instance_009_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_009/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_010_seed829010,node_000,0,root,BRANCHED,False,True,16644,True,1139,16,1123,0.5,7,rows/scale_020/instance_010_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_010/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_010_seed829010,node_001,1,branch,INTEGER_INCUMBENT,True,True,1140,True,0,0,0,,0,rows/scale_020/instance_010_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_010/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_010_seed829010,node_002,1,branch,BRANCHED,False,True,1140,True,54,16,38,0.5,4,rows/scale_020/instance_010_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_010/tree_closure_results/tree_closure_001.json
20,lunar_ice_sp50_020_010_seed829010,node_003,2,branch,BRANCHED,False,True,1140,True,11,11,0,0.5,3,rows/scale_020/instance_010_logical_graph/attempt_001/scale_020/proofs/scale_020/instance_010/tree_closure_results/tree_closure_001.json
