matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,reference_solution_upper_bound,reference_solution_upper_bound_source,direct_bound_pruning_root_bound,direct_bound_pruning_active,journey_label_bound_pruned_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B0_pure_direct_dp,,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B1A_full_universe_root_audit,full_universe,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_001_seed929001,B1B_seeded_root_CG,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.919465,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7291.503821,258.51090966,10456.853580727,1680.0,False,5423.917157,198.586257,10650.43659,1014.937931,9882.67805,0.743868109,0.768192945,1.018512549,0.604129721,1.919466,1.919465,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B1B_seeded_root_CG,,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B0_pure_direct_dp,,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B1A_full_universe_root_audit,full_universe,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_002_seed929002,B1B_seeded_root_CG,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.836347,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7570.03155,260.536858441,10748.505866854,1680.0,False,5217.193858,192.947001,10925.351721,1042.643672,9780.281547,0.689190504,0.740574682,1.016453064,0.620621233,1.836346,1.836347,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B1B_seeded_root_CG,,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B0_pure_direct_dp,,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B1A_full_universe_root_audit,full_universe,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_003_seed929003,B1B_seeded_root_CG,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.827782,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7604.847177,275.860817685,10539.146258893,1680.0,False,5420.203543,195.373189,10718.868992,1096.669944,9903.124329,0.712730107,0.708231023,1.017052874,0.652779729,1.827782,1.827782,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B1B_seeded_root_CG,,0,,False
30-scale full normalized objective,30,lunar_ice_sp50_030_004_seed929004,B0_pure_direct_dp,DIRECT_DP_TIME_LIMIT,FEASIBLE_INCUMBENT_ONLY,,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,1.913246,instance_reference_solution_best_path_repair,,,0,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7453.670942,264.3176178,10742.666715071,1680.0,False,5546.476838,201.573881,10917.207045,1125.949682,10114.933537,0.744126871,0.762619922,1.016247393,0.670208144,1.913246,1.913246,False,,False,,,,0,0,,,0,0.0,direct-exact-dependent mode skipped at scale=30 by resource guard; latest 30-scale B0 probe timed out after 300s during sortie_candidate_generation before fleet_set_partition,,,,,,,,,False,B0_pure_direct_dp,,0,,False
