scale,instance_id,mode,max_direct_tasks,status,certificate_scope,pricing_state,root_lp_bound_official,objective,root_lp_bound,round_count,added_column_count,final_judge_status,final_judge_source,final_judge_wall_time,final_judge_negative_count,manual_priced_column_count,wall_time,note
5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1310.952686,,0,0,,,,,,0.003992,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_001_seed679001,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1310.952686,1310.952686,3,20,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.3e-05,0,31,0.009768,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_002_seed679002,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1349.525425,,0,0,,,,,,0.003065,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_002_seed679002,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1349.525425,1349.525425,3,21,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,0.008601,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_003_seed679005,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1316.47124,,0,0,,,,,,0.004944,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_003_seed679005,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1316.47124,1316.47124,4,20,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,0.012708,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_005_seed679011,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1182.368403,,0,0,,,,,,0.005044,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_005_seed679011,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1182.368403,1182.368403,3,21,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,0.010412,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_007_seed679013,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1400.622149,,0,0,,,,,,0.003053,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_007_seed679013,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1400.622149,1400.622149,4,20,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,0.009249,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_004_seed729004,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2434.053897,,0,0,,,,,,0.12156,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_004_seed729004,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2434.053897,2434.053897,3,55,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000186,0,228,0.249082,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
