stage,matrix_group,instance_path,source_probe_json,scale,instance_id,mode,variant,phase,round,algorithm_status,certificate_scope,underlying_certificate_scope,pricing_state,exact_status,bpc_tree_optimal,b3_objective_diff_vs_b0,manual_rc_fail,pricing_rc_fail,certificate_leak,hidden_negative_count,harvest_selected_count,harvest_candidate_negative_count,harvest_selected_new_task_set_count,harvest_selected_replacement_task_set_count,harvest_best_true_rc,harvest_worst_selected_true_rc,harvest_addability_audit_pass,tail_dual_stabilization_enabled,worker_dual_only,true_dual_rc_recomputed,global_remaining_rc_lb,underlying_global_remaining_rc_lb,frontier_lb_official,frontier_coverage_complete,underlying_frontier_coverage_complete,frontier_unsupported_region_count,underlying_frontier_unsupported_region_count,pending_complete_min_rc,underlying_pending_complete_min_rc,pricing_proof_kind,underlying_pricing_proof_kind,compact_pricing_dual_bound,new_negative_columns_found,negative_column_count,can_certify_no_negative,underlying_can_certify_no_negative,b4_1_certificate_suppressed,diagnostic_claimed_certificate,wall_time,fail_closed_reason
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,,5,lunar_ice_sp50_005_001_seed679001,stageA_B3B_accepted_baseline,,stage_a_solver,,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.183582,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,,5,lunar_ice_sp50_005_001_seed679001,stageA_B4V2_default_final_judge_harvesting,,stage_a_solver,,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.186602,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,,5,lunar_ice_sp50_005_001_seed679001,stageA_B2B_R2_worker_tail_dual_off,,stage_a_solver,,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,,CERTIFIED_NO_NEGATIVE,BPC_NODE_LP_CERTIFIED,False,0.0,0,0,0,0,42,42,,,,,,False,True,True,,,,False,,,,,,,,,18,0,True,,,0,0.168666,B2B_R2_worker_before_final_judge root LP certificate came only from the true-dual final judge after worker-before-final-judge rounds.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,,5,lunar_ice_sp50_005_001_seed679001,stageA_B2B_R2_worker_tail_dual_on,,stage_a_solver,,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,,CERTIFIED_NO_NEGATIVE,BPC_NODE_LP_CERTIFIED,False,0.0,0,0,0,0,42,42,,,,,,True,True,True,,,,False,,,,,,,,,18,0,True,,,0,0.171836,B2B_R2_worker_before_final_judge root LP certificate came only from the true-dual final judge after worker-before-final-judge rounds.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,,5,lunar_ice_sp50_005_002_seed679002,stageA_B3B_accepted_baseline,,stage_a_solver,,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.226807,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,,5,lunar_ice_sp50_005_002_seed679002,stageA_B4V2_default_final_judge_harvesting,,stage_a_solver,,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.226733,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,,5,lunar_ice_sp50_005_002_seed679002,stageA_B2B_R2_worker_tail_dual_off,,stage_a_solver,,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,,CERTIFIED_NO_NEGATIVE,BPC_NODE_LP_CERTIFIED,False,0.0,0,0,0,0,42,42,,,,,,False,True,True,,,,False,,,,,,,,,18,0,True,,,0,0.217649,B2B_R2_worker_before_final_judge root LP certificate came only from the true-dual final judge after worker-before-final-judge rounds.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_002_logical_graph.json,,5,lunar_ice_sp50_005_002_seed679002,stageA_B2B_R2_worker_tail_dual_on,,stage_a_solver,,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,,CERTIFIED_NO_NEGATIVE,BPC_NODE_LP_CERTIFIED,False,0.0,0,0,0,0,38,38,,,,,,True,True,True,,,,False,,,,,,,,,18,0,True,,,0,0.210641,B2B_R2_worker_before_final_judge root LP certificate came only from the true-dual final judge after worker-before-final-judge rounds.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_003_logical_graph.json,,5,lunar_ice_sp50_005_003_seed679005,stageA_B3B_accepted_baseline,,stage_a_solver,,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.278322,B3 tree is closed by official node LP certificates and an integer incumbent.
A,B4.1 Stage A regression,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_003_logical_graph.json,,5,lunar_ice_sp50_005_003_seed679005,stageA_B4V2_default_final_judge_harvesting,,stage_a_solver,,BPC_OPTIMAL,BPC_TREE_OPTIMAL,,CERTIFIED_NO_NEGATIVE,BPC_TREE_OPTIMAL,True,0.0,0,0,0,0,0,0,,,,,,False,False,False,,,,False,,,,,,,,,,,False,,,0,0.281371,B3 tree is closed by official node LP certificates and an integer incumbent.
