matrix_group,source_json,instance_id,phase,round,variant,formulation_kind,row_count_added,var_count_before,var_count_after,constraint_count_before,constraint_count_after,arc_options_removed,slot_count_before,slot_count_after,compact_pricing_status,compact_pricing_exact_status,compact_pricing_best_rc,compact_pricing_dual_bound,compact_pricing_gap,mip_nodes,simplex_iterations,wall_time,negative_found,negative_rc,negative_column_count,new_negative_columns_found,cut_candidate_count,cut_violated_count,max_violation,active_column_count,pool_column_count,columns_added,active_columns_after_merge,can_certify_no_negative,certificate_scope,pricing_complete_by_compact_milp,negative_feasibility_search_enabled,mtz_endpoint_order_cuts_enabled,mtz_endpoint_order_cut_count,pair_adjacency_cuts_enabled,pair_adjacency_cut_count,sortie_slots_per_journey,sortie_slot_bound_source,latest_service_start_slot_bound_enabled,sortie_slot_horizon_count_bound,sortie_slot_latest_start_count_bound,time_window_arc_pruning_enabled,time_window_arc_option_count,time_window_impossible_arc_option_count,restricted_negative_feasibility_claimed_certificate,positive_incumbent_rc_claimed_certificate
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,history,1,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,,,-0.0086916,-0.008692082,0.0,,,555.293358,True,-0.0086916,1,1,,,,267,295,1,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,history,2,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,,,-0.005263064,-0.095466331,17.140383741,,,321.42012,True,-0.005263064,1,1,,,,268,296,1,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,history,3,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,,,,,,,,23.235904,False,,0,0,,,,269,296,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,final_judge,3,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,23.235904,False,,0,0,,,,,,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,staged_frontier_merge,,V4_combined_endpoint_pair_latest_start_time_window,staged_frontier_replay_merge,,,,,,,,,,,-0.00788215,-0.007881834,,,,,True,-0.00788215,1,1,,,,,,1,297,False,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,,,,,,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,staged_frontier_active_pool_subset_row_probe,,V5_subset_row_master_diagnostic_only,master_subset_row_restricted_active_pool,0,,,,,,,,,,,,,,,,False,,0,0,10,0,0.0,297,297,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,,,,,,,,,,,,,,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus34_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus34_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,history,1,V2_latest_service_start_slot_bound,latest_service_start_slot_bound+time_window_arc_pruning,0,,23479,,25652,1193,30,21,,,-0.011314348,-1.305366651,,,,167.564816,True,-0.011314348,2,2,,,,192,212,2,214,False,DIAGNOSTIC_PRICING_FRONTIER,False,True,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus34_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus34_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,history,2,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,,,-0.0545346,-0.190713252,2.497110076,,,675.52753,True,-0.0545346,1,1,,,,193,213,1,214,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus34_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus34_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,history,3,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,,,,,,,,57.221045,False,,0,0,,,,194,213,0,214,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
30-scale staged frontier formulation diagnostic,runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus34_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus34_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,final_judge,3,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57086,1193,30,21,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,57.221045,False,,0,0,,,,,,0,214,False,DIAGNOSTIC_PRICING_FRONTIER,False,False,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,,30,21,True,2247,1193,False,False
