matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,b3_algorithm_status,b3_certificate_scope,b3_root_lp_bound,b4_root_lp_bound,root_no_cut_lp_bound,incumbent_objective,objective_diff_vs_B3,certificate_scope_diff_vs_B3,cut_probe_status,cut_candidate_count,cut_violated_count,max_violation,mean_violation,violated_subset_size_histogram,cut_kind,cut_key,rhs,sense,coefficient_dependency,coefficient_vector_hash,pricing_supported,completion_bound_supported,dominance_compatible,would_bind_on_current_rmp,would_change_dual_support,affected_column_count,active_support_overlap,diagnostic_round_status,diagnostic_selected_cut_count,diagnostic_cut_rmp_bound_delta,diagnostic_cut_rmp_status,diagnostic_lower_bound_official,diagnostic_can_certify,restricted_pool_diagnostic_status,restricted_pool_evaluation_scope,restricted_pool_seed_column_count,restricted_pool_root_rmp_status,restricted_pool_root_bound,restricted_pool_can_certify,live_subset_rows,cut_rows_active,cut_added_count,cut_dual_nonzero_count,manual_rc_with_cuts_matches_pricing_rc,manual_rc_cut_consistency_pass,cut_dual_sign_audit_pass,cut_dominance_valid,cut_pricing_supported_count,cut_completion_bound_fail_closed_count,completion_bound_pruning_enabled,fleet_lower_bound_live_enabled,lp_bound_delta,root_gap_delta,cut_effective_claim,objective_mismatch,certificate_scope_regression,direct_dp_certificate_leak,manual_rc_with_cuts_fail,pricing_rc_with_cuts_fail,cut_coefficient_audit_fail,cut_dual_sign_audit_fail,cut_dominance_compatibility_fail,fleet_lower_bound_live_enabled_without_proof,completion_bound_unsafe_with_cuts,restricted_pricing_claimed_no_negative,positive_incumbent_rc_claimed_certificate,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_001_seed679001,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.191915,2.191915,2.191915,2.191915,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.204061,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_002_seed679002,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.363709,2.363709,2.363709,2.363709,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25139,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_003_seed679005,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.202702,2.202702,2.202702,2.202702,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29569,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_004_seed679030,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.068163,2.068163,2.068163,2.068163,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.296111,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_005_seed679011,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.155459,2.155459,2.155459,2.155459,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37462,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_006_seed679032,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.114233,2.114233,2.114233,2.114233,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.258899,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_007_seed679013,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.140463,2.140463,2.140463,2.140463,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.430309,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_008_seed679014,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.100262,2.100262,2.100262,2.100262,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.750071,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_009_seed679015,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.096863,2.096863,2.096863,2.096863,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.36767,,,5,False,,,,,
5-scale full B4A diagnostic,5,lunar_ice_sp50_005_010_seed679016,B4A_cut_diagnostic_only,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1,1,BPC_OPTIMAL,BPC_TREE_OPTIMAL,2.204695,2.204695,2.204695,2.204695,0.0,,CUT_PROBE_READY,11,0,0.0,0.0,{},subset_row,sri_probe_ice_site_001_ice_site_002_ice_site_003,1.0,<=,task_set,e0ce81baf2593d09f6c9db650ab1131dc70206e7b99d2f9081bc1f4800c3e997,True,False,True,True,False,1,1.0,NO_CUT_ROW_ADDED,0,,NOT_RUN,False,False,,,,,,False,False,False,0,0,,,,True,0,0,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48731,,,5,False,,,,,
