matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,,False,,,,0,0,,,0,16.388193,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,4.6e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_001_seed829001,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.581227,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5128.143295,178.054779148,7173.538882897,1680.0,False,2978.425476,106.114498,7253.545286,1051.030769,5985.958088,0.580799971,0.595965458,1.011152989,0.625613553,1.581227,1.581227,False,1.581227,True,True,0.0,True,7,1162,True,True,0,146.605824,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,,,0,0,,,0,8.659931,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,4.2e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,1.774474,True,True,0.0,True,5,1172,True,True,0,61.156223,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.581185,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,,False,,,,0,0,,,0,22.195013,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.5e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.581185,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,1.574544,True,True,0.006641,False,6,1608,True,True,0,165.520871,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.66182,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,,False,,,,0,0,,,0,14.353417,,,,False,,,,,,False,,,,,
